,Event Date,CIS #,AE,Definite,Entered By,Entered Date,Customer,Adult Guests, Event Menu, Specialty Menu Items, Sweet Treats, Wedding Cake, Coffee + Tea Service, Soft Beverages, Specialty Soft Beverages, Alcoholic Beverages, Wine Service with Dinner, Champagne Toast, Event Personnel, Equipment - TBD, In House Equipment, In House Linens, In House Tables & Chairs, Equipment Rentals, Equipment Rentals - TBD, Venue to Provide, Florals, Florals - Outside, Decor, Tenting, Lighting, Valet, Credit Card Processing Fee, Service Charge, Venue Fee, Gratuity, Delivery, Suggestions & Options, Our Gift to You!, Total Discount,State, Subtotal,Sales Tax
0,2016-10-15,10756,Aprill,8/24/2015,Gordon,7/17/2015,Cochenour,107.0,3741.0,,695.5,65.0,,107.0,19.26,,,,4618.0,,1734.47,560.0,,,,,,,,,,,,,,270.0,150.0,,,110.0,DC,11960.23,1169.03
1,2016-10-15,10756,Aprill,08/24/15,Gordon,07/17/2015,Cochenour,107,3741,,695.5,65,,107,19.26,840.0,,,4618,,1734.47,560,,,,,,,,,,,,,,270,150,,, 110,DC, 11960.23, 1169.03
2,2016-10-27,15827,Aprill,10/20/16,Gordon,10/12/2016,National Cooperative Business Association,60,1300.0,,,,,180,,840,,,496,,550,120,,,,,,,,,,,,,,,150.0,,,,DC, 2186,
3,2016-11-17,16344,Aprill,11/15/16,Keene,11/14/2016,Embassy of the Republic of Lithuania,100,1300,,97.5,,,,,,,,200,,431.2,,12.5,,,,,,,,,,,,,,150,,,2124.85,DC, 1650,209.05
4,2016-12-30,15130,Aprill,08/12/16,Gordon,08/12/2016,Gordon,65,536.25,,97.5,,,100.0,,560.0,,,938,,431.2,50.0,12.5,530.0,,,,,,,,,79.32,,,,75,,, 2124.85,DC, 2090.45, 209.05
5,2017-03-23,17978,Aprill,03/16/17,Gordon,03/13/2017,National Cooperative Business Association,40,540,,,,,100,,560,,,634.5,,370,50,,530,,,,,,,,,79.32,,,,150,,,2234.85,DC, 3013.82, 293.45
6,2016-02-24,12797,Athina,2/17/2016,,1/12/2016,Embassy of the Republic of Lithuania,150.0,1950.0,,,,,450.0,,,,,2040.0,,384.0,,,,,,,,,,,,,,,,150.0,,, 2234.85,DC, 20900.5,  1671.53
7,2016-02-24,12797,Athina,02/17/16,,01/12/2016,Embassy of the Republic of Lithuania,150,1950,,,,,450,,,,,2040,,384,,,,,,,,,,,,,,,,150,,, 956,DC, 4974, 497.4
8,2016-03-29,13580,Athina,03/23/16,Talavera,03/22/2016,Cognosante,25,762.5,,420.0,,125.0,75,,,,,798.0,,50,200.0,,312.0,,,,,,,,,,,,,50,,,,VA, 937.5, 86.75
9,2016-03-31,12943,Athina,03/08/16,Talavera,01/27/2016,Porter,50,1350,,420,,125,62.5,,,,,798,,678.5,200,,312,,,,,,,,,,,,,150,,,,DC, 4096, 409.6
