, Alcoholic Beverages, Champagne Toast, Coffee + Tea Service, Credit Card Processing Fee, Decor, Delivery, Equipment - TBD, Equipment Rentals, Equipment Rentals - TBD, Event Menu, Event Personnel, Florals, Florals - Outside, Gratuity, In House Equipment, In House Linens, In House Tables & Chairs, Lighting, Our Gift to You!, Service Charge, Soft Beverages, Specialty Menu Items, Specialty Soft Beverages, Subtotal, Suggestions & Options, Sweet Treats, Tenting, Total Discount, Valet, Venue Fee, Venue to Provide, Wedding Cake, Wine Service with Dinner,AE,Additional Fee,Additional Fee tax,Adult Guests,Alcoholic Beverages,Alcoholic Beverages Discount,CIS #,Champagne Toast,Champagne Toast Discount,Coffee + Tea Service,Coffee + Tea Service Discount,Credit Card Processing Fee,Credit Card Processing Fee Discount,Customer,Decor,Decor Discount,Definite,Delivery,Delivery Discount,Discounts,Entered By,Entered Date,Equipment - TBD,Equipment - TBD Discount,Equipment Rentals,Equipment Rentals - TBD,Equipment Rentals - TBD Discount,Equipment Rentals Discount,Estimate Total,Event Date,Event Menu,Event Menu Discount,Event Personnel,Event Personnel Discount,Event#,Florals,Florals - Outside,Florals - Outside Discount,Florals Discount,Gratuity,Gratuity Discount,In House Equipment,In House Equipment Discount,In House Linens,In House Linens Discount,In House Tables & Chairs,In House Tables & Chairs Discount,Lighting,Lighting Discount,Our Gift to You!,Our Gift to You! Discount,Sales Tax,Service Charge,Service Charge Discount,Soft Beverages,Soft Beverages Discount,Specialty Menu Items,Specialty Menu Items Discount,Specialty Soft Beverages,Specialty Soft Beverages Discount,State,Subtotal,Suggestions & Options,Suggestions & Options Discount,Sweet Treats,Sweet Treats Discount,Tenting,Tenting Discount,Valet,Valet Discount,Venue Fee,Venue Fee Discount,Venue to Provide,Venue to Provide Discount,Wedding Cake,Wedding Cake Discount,Wine Service with Dinner,Wine Service with Dinner Discount
0,,,,,,150.0,,,,3741.0,4618.0,,,270.0,1734.47,560.0,,,,,107.0,,19.26,11960.23,,695.5,,110.0,,,,65.0,,Aprill,,,107.0,,,10756,,,,,,,Cochenour,,,8/24/2015,,,,Gordon,7/17/2015,,,,,,,,2016-10-15,,,,,,,,,,,,,,,,,,,,,,1169.03,,,,,,,,,DC,,,,,,,,,,,,,,,,,
1,840.0,,,,,150.0,,,,3741.0,4618.0,,,270.0,1734.47,560.0,,,,,107.0,,19.26,11960.23,,695.5,,110.0,,,,65.0,,Jared,,,20,,,10756,,,,,,,Paradyme,,,12/15/2015,,,,Gordon,07/17/2015,,,,,,,110,2015-12-15,20,,,,111111,,,,,,,,,,,,,,,,,124,,,,,,,,,DC,1142.0,,,,,,,,,,,,,,,,
2,840.0,,,,,150.0,,,,1300.0,496.0,,,,550.0,120.0,,,,,180.0,,,2186.0,,,,,,,,,,Jared,,,35,,,15827,,,,,,,Personel,,,12/15/2015,,,,Gordon,10/12/2016,,,,,,,123,2015-12-15,11,,,,222222,,,,,,,,,,,,,,,,,124,,,,,,,,,DC,12.0,,,,,,,,,,,,,,,,
3,,,,,,150.0,,,,1300.0,200.0,,,,431.2,,12.5,,,,,,,1650.0,,97.5,,2124.85,,,,,,Jared,,,40,,,16344,,,,,,,aye,,,12/15/2015,,,,Keene,11/14/2016,,,,,,,123124124,2015-12-15,23,,,,333333,,,,,,,,,,,,,,,,,24,,,,,,,,,DC,1234124.0,,,,,,,,,,,,,,,,
4,560.0,,,79.32,,75.0,,530.0,,536.25,938.0,,,,431.2,50.0,12.5,,,,100.0,,,2090.45,,97.5,,2124.85,,,,,,Jared,,,50,,,15130,,,,,,,hi,,,12/15/2015,,,,Gordon,08/12/2016,,,,,,,124124,2015-12-15,53,,,,444444,,,,,,,,,,,,,,,,,14,,,,,,,,,DC,41142.0,,,,,,,,,,,,,,,,
5,560.0,,,79.32,,150.0,,530.0,,540.0,634.5,,,,370.0,50.0,,,,,100.0,,,3013.82,,,,2234.85,,,,,,Aniket,,,12,,,17978,,,,,,,blah,,,12/16/2015,,,,Gordon,03/13/2017,,,,,,,,2015-12-16,44,,,,55555,,,,,,,,,,,,,,,,,293.45,,,,,,,,,DC,,,,,,,,,,,,,,,,,
6,,,,,,150.0,,,,1950.0,2040.0,,,,384.0,,,,,,450.0,,,20900.5,,,,2234.85,,,,,,Athina,,,150.0,,,12797,,,,,,,Embassy of the Republic of Lithuania,,,2/17/2016,,,,,1/12/2016,,,,,,,,2016-02-24,,,,,,,,,,,,,,,,,,,,,,1671.53,,,,,,,,,DC,,,,,,,,,,,,,,,,,
7,,,,,,150.0,,,,1950.0,2040.0,,,,384.0,,,,,,450.0,,,4974.0,,,,956.0,,,,,,Athina,,,150.0,,,12797,,,,,,,Embassy of the Republic of Lithuania,,,02/17/16,,,,,01/12/2016,,,,,,,,2016-02-24,,,,,,,,,,,,,,,,,,,,,,497.4,,,,,,,,,DC,,,,,,,,,,,,,,,,,
8,,,125.0,,,50.0,,312.0,,762.5,798.0,,,,50.0,200.0,,,,,75.0,,,937.5,,420.0,,,,,,,,Athina,,,25.0,,,13580,,,,,,,Cognosante,,,03/23/16,,,,Talavera,03/22/2016,,,,,,,,2016-03-29,,,,,,,,,,,,,,,,,,,,,,86.75,,,,,,,,,VA,,,,,,,,,,,,,,,,,
9,,,125.0,,,150.0,,312.0,,1350.0,798.0,,,,678.5,200.0,,,,,62.5,,,4096.0,,420.0,,,,,,,,Athina,,,50.0,,,12943,,,,,,,Porter,,,03/08/16,,,,Talavera,01/27/2016,,,,,,,,2016-03-31,,,,,,,,,,,,,,,,,,,,,,409.6,,,,,,,,,DC,,,,,,,,,,,,,,,,,
