"Revenue Details By Event"
"Main Event Caterers"
"Event Date Range: 2/11/2017 through 4/12/2017"
"Event Status: Definite, Tentative"
"Business Unit: all"


"BU","Event Type","Event Theme","Customer","Customer ID ","Billing Customer","Event Date","G/C","Event#","AE","Location Name","Food","Food Discount","Coffee Service","Coffee Service Discount","Soft Beverages","Soft Beverages Discount","Alcoholic Beverages","Alcoholic Beverages Discount","Event Personnel","Event Personnel Discount","Equipment","Equipment Discount","Delivery","Delivery Discount","Florals - In House","Florals - In House Discount","Florals - Outside","Florals - Outside Discount","Lighting","Lighting Discount","Entertainment","Entertainment Discount","Valet","Valet Discount","Tenting","Tenting Discount","Other Vendors","Other Vendors Discount","Venue Rental","Venue Rental Discount","Miscellaneous Income","Miscellaneous Income Discount","Gratuity","Gratuity Discount","Credit Card Processing Fee","Credit Card Processing Fee Discount","Venue Fee","Venue Fee Discount","Outside Rentals","Outside Rentals Discount","Promotional","Promotional Discount",Tax,Event Total
"Main Event","HHD Fork Only","Corporate","Crowell & Moring LLP","2143","Crowell & Moring LLP","2/11/2017","34","17310","Tracy","Home of Shari Ross Lahlou",2210,-0,,,64,-0,,,1214,-0,439.11,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"407.71","4484.82",
"Main Event","HHD Finger Food","Corporate","Georgetown University - Center for Security Studies","5319","Georgetown University - Center for Security Studies","2/11/2017","350","16832","Mich","National Museum of Women in the Arts",10050,-0,,,660,-0,7589,-0,7446,-0,2486.55,-0,0,-0,930,-0,,,,,,,,,,,,,,,,,,,,,,,2500,-0,,,"0","31661.55",
"Main Event","Room Temp Drop Off","Social","Iwanski","11149","Iwanski","2/11/2017","150","17380","Elyse","Washington Ethical Society",2535,-0,,,100,-0,,,427.50,-0,442.50,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"365.5","4020.5",
"Main Event","Stations","Social","KLC Event Management","11148","KLC Event Management","2/11/2017","28","17376","Spenc","Barrel Oak Winery",1778,-0,,,,,,,1863.50,-0,769,-0,150,-0,,,,,,,,,,,,,,,,,,,,,132.09,-0,,,675,-0,,,"376.25","5743.84",
"Main Event","Hot Drop Off","Social","L'Enfant Cafe","10057","L'Enfant Cafe","2/11/2017","134","16626","Spenc","Capitale",3216,-0,,,,,,,450,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3666",
"Main Event","Equipment Only","Employee Purchase","Salazar","4591","Salazar","2/11/2017","1","17430","Daniela","Salazar",,,,,,,,,,,205.59,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.34","217.93",
"Main Event","Buffet","Corporate","L'Enfant Cafe","10057","L'Enfant Cafe","2/12/2017","142","16703","Spenc","Capitale - La Boum",3408,-0,,,,,,,450,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3858",
"Main Event","Dual Plated","Corporate","American Gas Association","2035","American Gas Association","2/13/2017","200","16149","Spenc","National Museum of Women in the Arts",13030,-0,,,1200,-0,3369,-0,10003.50,-0,4416,-0,150,-0,2040,-0,2107,-0,3940,-0,,,,,,,,,,,,,,,,,,,3848.50,-0,,,"4410.4","48514.4",
"Main Event","Promotional","Social","Atrendy Wedding","3160","Atrendy Wedding","2/13/2017","20","17172","Spenc","Buttercream Workshop",,,,,0,-0,0,-0,0,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0,,,"0","0",
"Main Event","Stationary HD","Corporate","Capitol Counsel LLC","2023","Capitol Counsel LLC","2/15/2017","125","17409","Tracy","Georgetown University Law Center",1500,-0,,,125,-0,702.15,-0,1368.75,-0,295,-0,100,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"409.1","4500",
