"REVENUE FORECAST"
"Main Event Caterers"
"Event Date Range: 2/13/2017 through 4/14/2017"
"Event Location: all"
"Event Status: Definite, Tentative"
"Account Executive: all"
"Business Unit: all"

Note - All invoice amounts include sales tax where applicable.
Estimate amounts from total estimates minimum amount option.

"Business Unit","Event Date","Event#","Customer","Event Name","AE","Guests","Initial Estimate","Estimate","Client Invoice","CXL Reason","CXL Comment",

"FOR DEFINITE EVENTS",
"Main Event","2/13/2017","17172","Atrendy Wedding","Valentine's Day Event","Spenc","20","0.00","0.00","0.00",,,
"Main Event","2/13/2017","16149","American Gas Association","AGA Dinner","Spenc","200","0.00","48,514.40","48,514.40",,,
"Main Event","2/14/2017","15806 T1","American Thoracic Society","Outgoing President's Reception","Mich","2","0.00","0.00","0.00",,,
"Main Event","2/14/2017","17088","Main Event Caterers","Arlington Chamber Cocktail Reception","cb","60","0.00","0.00","0.00",,,
"Main Event","2/15/2017","11618 T1","Bruno","Nasheed & Christoher's Wedding","Mich","4","0.00","0.00","0.00",,,
"District Crust","2/15/2017","17232","EODC","EODC going w/ DC 17231","MM","50","0.00","1,056.83","1,056.83",,,
"Main Event","2/15/2017","15472 T1","Piekara","Your Wedding Reception","Spenc","3","0.00","0.00","0.00",,,
"Main Event","2/15/2017","15056 T1","Hampton","Mia & Brandon's Wedding","Courtney","3","0.00","0.00","0.00",,,
"Main Event","2/15/2017","17468","Georgetown University Law Center","Black Caucus Reception","Tracy","150","0.00","500.00","500.00",,,
"Main Event","2/15/2017","17409","Capitol Counsel LLC","Congressional Black Caucus Welcome Reception","Tracy","125","0.00","4,500.00","4,500.00",,,
"Main Event","2/16/2017","17083","Box","Box Breakfast","Sam","50","0.00","3,966.19","3,966.19",,,
"Main Event","2/16/2017","16437 T1","Berger","Anna's Bat Mitzvah","Mich","3","0.00","0.00","0.00",,,
"Main Event","2/16/2017","16028 T1","Vasey","Rachel & Jay's Wedding","Spenc","3","0.00","0.00","0.00",,,
"Main Event","2/17/2017","17253 T1","The Event Group International (TEGI)","Lina & Tim's Wedding","Spenc","4","0.00","0.00","0.00",,,
"Main Event","2/17/2017","17433","Alexander","Your Bar Mtzvah!","Elyse","54","0.00","4,016.54","4,016.54",,,
"Main Event","2/18/2017","16627","L'Enfant Cafe","La Boum Brunch at Capitale","Spenc","127","0.00","3,498.00","3,498.00",,,
"Main Event","2/18/2017","13949","Howe","Jordan & Harris' Wedding","Spenc","110","0.00","20,004.13","20,004.13",,,
"Main Event","2/19/2017","16704","L'Enfant Cafe","La Boum Brunch","Spenc","132","0.00","3,618.00","3,618.00",,,
"Main Event","2/21/2017","16448SUP","Hirshhorn Musuem & Sculpture Garden","Board of Trustees Meeting","Tracy","30","0.00","0.00","0.00",,,
"Main Event","2/21/2017","16608 T1","Amao","Rosemary & Justin's Wedding","Mich","3","0.00","0.00","0.00",,,
"Main Event","2/21/2017","16504 T1","Sweetface Events","Catherine + Jonathan's Wedding Reception","Courtney","5","0.00","0.00","0.00",,,
"Main Event","2/21/2017","14805","International Spy Museum","Washington Diplomat – Ambassador Insider Series","Sam","99","0.00","1,369.87","1,369.87",,,
"Main Event","2/22/2017","16448 A","Hirshhorn Musuem & Sculpture Garden","Board of Trustees Meeting","Tracy","30","0.00","4,833.35","4,833.35",,,
"","2/22/2017","16202","MEC - IC Payroll Adjustments","MEC- IC Payroll Adjustments","Daniela","1","0.00","0.00","0.00",,,
"Main Event","2/22/2017","16448B","Hirshhorn Musuem & Sculpture Garden","Board of Trustees Meeting","Tracy","30","0.00","0.00","0.00",,,
"Main Event","2/22/2017","17477","National Association of Home Builders","Tasting at NAHB","Daniela","10","0.00","0.00","0.00",,,
"Main Event","2/22/2017","17188 T2","Hurley","Hope & Sean's Wedding","Spenc","3","0.00","0.00","0.00",,,
"Main Event","2/22/2017","16751 T2","Yoon","Jeannie & Joseph's Wedding","Spenc","3","0.00","0.00","0.00",,,
"Main Event","2/22/2017","16456","Hirshhorn Musuem & Sculpture Garden","Kusama Exhibition Opening Reception","Tracy","875","0.00","35,565.06","35,565.06",,,
"Main Event","2/22/2017","16532 T1","Preacher","Kathryn & Andrew's Wedding","Spenc","4","0.00","0.00","0.00",,,
"Main Event","2/22/2017","16457","Hirshhorn Musuem & Sculpture Garden","Kusama Exhibition Opening Dinner","Tracy","132","0.00","15,051.13","15,051.13",,,
"Main Event","2/23/2017","17097","International Spy Museum","Spy Museum Development Lunch","Sam","90","0.00","6,260.80","6,260.80",,,
"Main Event","2/23/2017","14153 T1","Cheung","Liz + Tim's Wedding!","Mich","6","0.00","0.00","0.00",,,
"Main Event","2/23/2017","17632","Goodwin | Procter","Goodwin Procter Reception","Sam","30","0.00","3,022.26","3,022.26",,,
"Main Event","2/23/2017","16103 T1","Richard","Jana & Solomon's Wedding","Elyse","5","0.00","0.00","0.00",,,
"Main Event","2/24/2017","17410A","National Guard Association Of U.S.","The Adjutants General Assoc of the United States","Tracy","80","0.00","7,510.58","7,510.58",,,
"District Crust","2/24/2017","17611","Center for Strategic Internaional Studies (CSIS)","Going with District Crust #17401","MM","10","0.00","0.00","0.00",,,
"Main Event","2/24/2017","17410B","National Guard Association Of U.S.","The Adjutants General Assoc of the United States","Tracy","90","0.00","0.00","0.00",,,
"Main Event","2/24/2017","16962 T1","Hecht","Julia & Tanveer's Wedding","Mich","6","0.00","0.00","0.00",,,
"Main Event","2/24/2017","17650","Rosenbaum","Your Celebration of Life!","Elyse","150","0.00","6,008.20","6,008.20",,,
"Main Event","2/24/2017","17424","National Guard Association Of U.S.","The Adjutants General Assoc of the United States","Tracy","110","0.00","8,311.02","8,311.02",,,
"Main Event","2/24/2017","17262","Thevoz","Drop off for Andres Chavez","Daniela","130","0.00","0.00","0.00",,,
"Main Event","2/24/2017","17363","Georgetown University Alumni and Student  Federal Credit Union","Board of Directors Reception","Tracy","110","0.00","5,075.80","5,075.80",,,
