,Month,Total Tastings,Presign Number,Presign Lost,Unsign Number,Unsign Signed,Unsigned Lost,Unsign Tentative,Sign Ave,Total Signed Event Value,Total Lost Event Value,Total Tentative Event Value,Ave Signed Event Value,Ave Lost Event Value,Ave Tent Event Value
0,7/1/2015,31,9,1,22,10,12,0,45.45454545,166220,225264,0,16622,18772,
1,8/1/2015,25,11,1,14,11,4,0,78.57142857,198198,59560,0,18018,14890,
2,9/1/2015,25,7,0,18,15,3,0,83.33333333,335655,52359,0,22377,17453,
3,10/1/2015,25,7,0,18,15,3,0,83.33333333,319335,46098,0,21289,15366,
4,11/1/2015,26,9,0,17,15,2,0,88.23529412,246075,40468,0,16405,20234,
5,12/1/2015,20,5,0,15,14,1,0,93.33333333,241584,10988,0,17256,10988,
6,1/1/2016,29,6,0,23,16,7,0,69.56521739,500152,130192,0,22734.18182,18598.85714,
7,1/1/2016,29,6,0,23,16,7,0,69.56521739,500152,130192,0,22734.18182,18598.85714,
8,2/1/2016,34,13,0,21,16,5,0,76.19047619,539464,72109,0,18602.2069,14421.8,
9,3/1/2016,37,17,0,20,15,5,0,75,616796,71916,0,19274.875,14383.2,
10,4/1/2016,22,12,0,10,8,2,0,80,396539,28778,0,19826.95,14389,
11,5/1/2016,23,9,0,14,12,2,0,85.71428571,426699,39314,0,20319,19657,
12,6/1/2016,35,15,0,20,15,5,0,75,499421,120645,0,16647.36667,24129,
13,7/1/2016,30,13,0,17,16,1,0,94.11764706,422958,16612,0,14584.75862,16612,
14,8/1/2016,41,21,0,20,13,7,0,65,625492,140037,0,18396.82353,20005.28571,
15,9/1/2016,21,11,0,10,2,8,0,20,282288,214083,0,21714.46154,26760.375,
16,10/1/2016,18,6,0,12,9,3,0,75,277521,50992,0,18501.4,16997.33333,24656.5
17,11/1/2016,23,7,0,16,12,4,0,75,350095,68635,0,18426.05263,17158.75,24656.5
18,12/1/2016,23,7,0,16,14,2,2,87.5,326967,46805,49313,15569.85714,23402.5,24656.5
20,1/1/2017,28,7,0,21,16,5,0,76.19047619,457183,93438,0,19877.52174,18687.6,9003.166667
21,2/1/2017,30,11,0,19,13,2,4,68.42105263,399023,34816,98491,16625.95833,17408,24622.75
22,3/1/2017,26,11,0,15,7,1,7,46.7,374207,38017,108416,20789,38017,15488
23,4/1/2017,7,3,0,4,3,0,1,75,97247,,17987,16208,,17987
24,5/1/2017,,,,,,,,,,,,,,
25,6/1/2017,,,,,,,,,,,,,,
26,7/1/2017,,,,,,,,,,,,,,
27,8/1/2017,,,,,,,,,,,,,,
28,9/1/2017,,,,,,,,,,,,,,
29,10/1/2017,,,,,,,,,,,,,,
30,11/1/2017,,,,,,,,,,,,,,
31,12/1/2017,,,,,,,,,,,,,,
